;;;;;;;;
;;;;;;;;
;;;;;;;;
Name;D65_White;D65_Blue;D65_Skin;D65_Yellow;D50_White;D50_Blue;D50_Skin;D50_Yellow
Correction;UV;UV;UV;UV;UV;UV;UV;UV
Date;17/06/2025;17/06/2025;17/06/2025;17/06/2025;17/06/2025;17/06/2025;17/06/2025;17/06/2025
455;8,58095E-02;2,77577E-02;1,46583E-02;5,61938E-03;4,27338E-02;1,07789E-02;5,68371E-03;2,31379E-03
456;8,57692E-02;2,74406E-02;1,45268E-02;5,66378E-03;4,25087E-02;1,07352E-02;5,75334E-03;2,42356E-03
457;8,50437E-02;2,71462E-02;1,46285E-02;5,74422E-03;4,18663E-02;1,05613E-02;5,68310E-03;2,43363E-03
458;8,40495E-02;2,67695E-02;1,46066E-02;5,64252E-03;4,11690E-02;1,03924E-02;5,67108E-03;2,35564E-03
459;8,39357E-02;2,66611E-02;1,44931E-02;5,64600E-03;4,05224E-02;1,00913E-02;5,66968E-03;2,33024E-03
460;8,36133E-02;2,66277E-02;1,49317E-02;5,82560E-03;4,01827E-02;9,95954E-03;5,54578E-03;2,35463E-03
461;8,43049E-02;2,67634E-02;1,51329E-02;5,77603E-03;3,95001E-02;9,78781E-03;5,57410E-03;2,26464E-03
462;8,47061E-02;2,66521E-02;1,54008E-02;6,10571E-03;3,90698E-02;9,62119E-03;5,52496E-03;2,34972E-03
463;8,65517E-02;2,71245E-02;1,56352E-02;6,15358E-03;3,92177E-02;9,48978E-03;5,50201E-03;2,29414E-03
464;8,82630E-02;2,75257E-02;1,62832E-02;6,20860E-03;3,90402E-02;9,41662E-03;5,58599E-03;2,37866E-03
465;9,16992E-02;2,80801E-02;1,66940E-02;6,93883E-03;3,95672E-02;9,60153E-03;5,78617E-03;2,41123E-03
466;9,41501E-02;2,87241E-02;1,75718E-02;7,01126E-03;3,98945E-02;9,64921E-03;5,87370E-03;2,57332E-03
467;9,59073E-02;2,90862E-02;1,80014E-02;7,33460E-03;4,12942E-02;9,77707E-03;6,14141E-03;2,62119E-03
468;9,82133E-02;2,97218E-02;1,84847E-02;7,52003E-03;4,23241E-02;1,00233E-02;6,30152E-03;2,68739E-03
469;9,92622E-02;2,97416E-02;1,91440E-02;7,81014E-03;4,32625E-02;1,01598E-02;6,57623E-03;2,87181E-03
470;9,98109E-02;2,98419E-02;1,92527E-02;7,84522E-03;4,41944E-02;1,01818E-02;6,72676E-03;2,87435E-03
471;1,00860E-01;2,95223E-02;1,96904E-02;8,21388E-03;4,51416E-02;1,03634E-02;6,94880E-03;3,05430E-03
472;9,84389E-02;2,92050E-02;1,95940E-02;8,08827E-03;4,54529E-02;1,02334E-02;7,02726E-03;3,09155E-03
473;9,66823E-02;2,80957E-02;1,95871E-02;7,97066E-03;4,52726E-02;1,01308E-02;7,14392E-03;3,15165E-03
474;9,40986E-02;2,70915E-02;1,94099E-02;8,10238E-03;4,50484E-02;1,00212E-02;7,18579E-03;3,20629E-03
475;9,12565E-02;2,59443E-02;1,88775E-02;7,86482E-03;4,40982E-02;9,74499E-03;7,12676E-03;3,15447E-03
476;8,75116E-02;2,47543E-02;1,83572E-02;7,78706E-03;4,31226E-02;9,36823E-03;6,90282E-03;3,12693E-03
477;8,44987E-02;2,36153E-02;1,79770E-02;7,57116E-03;4,18076E-02;8,95336E-03;6,88780E-03;3,06949E-03
478;8,04185E-02;2,22464E-02;1,75620E-02;7,24770E-03;4,02151E-02;8,51438E-03;6,71811E-03;3,00863E-03
479;7,76584E-02;2,12158E-02;1,71988E-02;7,31629E-03;3,83126E-02;8,13695E-03;6,62865E-03;2,98223E-03
480;7,55268E-02;2,03716E-02;1,70065E-02;7,48744E-03;3,76014E-02;7,74855E-03;6,43200E-03;2,97398E-03
481;7,32162E-02;1,94142E-02;1,67386E-02;7,35023E-03;3,59570E-02;7,39975E-03;6,27801E-03;2,91131E-03
482;7,21341E-02;1,87915E-02;1,66066E-02;7,23507E-03;3,55497E-02;7,04878E-03;6,15068E-03;2,90702E-03
483;7,13946E-02;1,83407E-02;1,66926E-02;7,59762E-03;3,43388E-02;6,79048E-03;6,26015E-03;2,99855E-03
484;7,13807E-02;1,79637E-02;1,68703E-02;7,97777E-03;3,33133E-02;6,61977E-03;6,12442E-03;2,87998E-03
485;7,15889E-02;1,77021E-02;1,69439E-02;8,21842E-03;3,36833E-02;6,41507E-03;6,18376E-03;3,07029E-03
486;7,30309E-02;1,76754E-02;1,75568E-02;8,65545E-03;3,35092E-02;6,34687E-03;6,26504E-03;3,16323E-03
487;7,39911E-02;1,75664E-02;1,81284E-02;8,86939E-03;3,36703E-02;6,23225E-03;6,41257E-03;3,26441E-03
488;7,60739E-02;1,76472E-02;1,85963E-02;9,30403E-03;3,38403E-02;6,23494E-03;6,57716E-03;3,47859E-03
489;7,79484E-02;1,77235E-02;1,92463E-02;1,02724E-02;3,45386E-02;6,19169E-03;6,75352E-03;3,60756E-03
490;8,07875E-02;1,80723E-02;2,02055E-02;1,04816E-02;3,54704E-02;6,19974E-03;6,98596E-03;3,91630E-03
491;8,36944E-02;1,80714E-02;2,08622E-02;1,14908E-02;3,63927E-02;6,22116E-03;7,24435E-03;4,11750E-03
492;8,56418E-02;1,83589E-02;2,17510E-02;1,22422E-02;3,74298E-02;6,28183E-03;7,58926E-03;4,40505E-03
493;8,78705E-02;1,83132E-02;2,24636E-02;1,29542E-02;3,86710E-02;6,32196E-03;7,82145E-03;4,66258E-03
494;9,12438E-02;1,86241E-02;2,32425E-02;1,40230E-02;3,97715E-02;6,41056E-03;8,17760E-03;5,08787E-03
495;9,37062E-02;1,87488E-02;2,41391E-02;1,52446E-02;4,07439E-02;6,40652E-03;8,37991E-03;5,49288E-03
496;9,60584E-02;1,89596E-02;2,48347E-02;1,60626E-02;4,23708E-02;6,49517E-03;8,75152E-03;5,79838E-03
497;9,82828E-02;1,89483E-02;2,55739E-02;1,72636E-02;4,33573E-02;6,50383E-03;9,06913E-03;6,31248E-03
498;9,99368E-02;1,90079E-02;2,65875E-02;1,83980E-02;4,46596E-02;6,55247E-03;9,29308E-03;6,83286E-03
499;1,01074E-01;1,87222E-02;2,64567E-02;1,95071E-02;4,49075E-02;6,58295E-03;9,63923E-03;7,25548E-03
500;1,02568E-01;1,83596E-02;2,71467E-02;2,03982E-02;4,65941E-02;6,63219E-03;9,83688E-03;7,70063E-03
501;1,02611E-01;1,81595E-02;2,72423E-02;2,16592E-02;4,70487E-02;6,46877E-03;9,88923E-03;8,18032E-03
502;1,02427E-01;1,76504E-02;2,73371E-02;2,27268E-02;4,77072E-02;6,51461E-03;1,00779E-02;8,73833E-03
503;1,02508E-01;1,73122E-02;2,74308E-02;2,38066E-02;4,77552E-02;6,38762E-03;1,01692E-02;9,05863E-03
504;1,00946E-01;1,68047E-02;2,71911E-02;2,45256E-02;4,77586E-02;6,22518E-03;1,02304E-02;9,37087E-03
505;1,00175E-01;1,62860E-02;2,68391E-02;2,52888E-02;4,77739E-02;6,05768E-03;1,01115E-02;9,90959E-03
506;9,80178E-02;1,56976E-02;2,66350E-02;2,64151E-02;4,74408E-02;5,95666E-03;1,01392E-02;1,02558E-02
507;9,70777E-02;1,51856E-02;2,61573E-02;2,72916E-02;4,70067E-02;5,79268E-03;1,00607E-02;1,07192E-02
508;9,50718E-02;1,45704E-02;2,56845E-02;2,79696E-02;4,67411E-02;5,60586E-03;9,90647E-03;1,11262E-02
509;9,39223E-02;1,39042E-02;2,49923E-02;2,87459E-02;4,64221E-02;5,42354E-03;9,65814E-03;1,14696E-02
510;9,26380E-02;1,36772E-02;2,47561E-02;3,01042E-02;4,59742E-02;5,31876E-03;9,66272E-03;1,18297E-02
511;9,20106E-02;1,30437E-02;2,42322E-02;3,04517E-02;4,55234E-02;5,19439E-03;9,51028E-03;1,23831E-02
512;9,03391E-02;1,27155E-02;2,38422E-02;3,15526E-02;4,52263E-02;5,01501E-03;9,44986E-03;1,27522E-02
513;9,01469E-02;1,24268E-02;2,33314E-02;3,24133E-02;4,47531E-02;4,93243E-03;9,33676E-03;1,32631E-02
514;8,85591E-02;1,20097E-02;2,32834E-02;3,33300E-02;4,46293E-02;4,71448E-03;9,15956E-03;1,36280E-02
515;8,82126E-02;1,15949E-02;2,28138E-02;3,45798E-02;4,42227E-02;4,64244E-03;9,03582E-03;1,40216E-02
516;8,82008E-02;1,14039E-02;2,24562E-02;3,52977E-02;4,46286E-02;4,55079E-03;8,94791E-03;1,45687E-02
517;8,83898E-02;1,10978E-02;2,21869E-02;3,70514E-02;4,44936E-02;4,48836E-03;8,91947E-03;1,49875E-02
518;8,77791E-02;1,09369E-02;2,17615E-02;3,80180E-02;4,49166E-02;4,36821E-03;8,77527E-03;1,57500E-02
519;8,74323E-02;1,07989E-02;2,15592E-02;3,91639E-02;4,42513E-02;4,40293E-03;8,65659E-03;1,59518E-02
520;8,80296E-02;1,04292E-02;2,11241E-02;3,99190E-02;4,48967E-02;4,28107E-03;8,56539E-03;1,65867E-02
521;8,80916E-02;1,02277E-02;2,09765E-02;4,15775E-02;4,52611E-02;4,19236E-03;8,56600E-03;1,71705E-02
522;8,78172E-02;1,01506E-02;2,05635E-02;4,20363E-02;4,53562E-02;4,18257E-03;8,47615E-03;1,77252E-02
523;8,81131E-02;9,87047E-03;2,03173E-02;4,30608E-02;4,56281E-02;4,09373E-03;8,40749E-03;1,81296E-02
524;8,79676E-02;9,78651E-03;1,99801E-02;4,45044E-02;4,62123E-02;3,99987E-03;8,36769E-03;1,86847E-02
525;8,81204E-02;9,59049E-03;1,96640E-02;4,47203E-02;4,64801E-02;4,00958E-03;8,31199E-03;1,91822E-02
526;8,79925E-02;9,46216E-03;1,94034E-02;4,62792E-02;4,67560E-02;4,02157E-03;8,08909E-03;1,95448E-02
527;8,88191E-02;9,34948E-03;1,91921E-02;4,65165E-02;4,67615E-02;3,94450E-03;8,06756E-03;1,99586E-02
528;8,87099E-02;9,19348E-03;1,89445E-02;4,73041E-02;4,69323E-02;3,89643E-03;8,02584E-03;2,05433E-02
529;8,84974E-02;9,22490E-03;1,88931E-02;4,80400E-02;4,74205E-02;3,85131E-03;7,97396E-03;2,06499E-02
530;8,78227E-02;8,85760E-03;1,82682E-02;4,85646E-02;4,79178E-02;3,83560E-03;7,88152E-03;2,11809E-02
531;8,83059E-02;8,71053E-03;1,82253E-02;4,90083E-02;4,80397E-02;3,82961E-03;7,78711E-03;2,14062E-02
532;8,80569E-02;8,77323E-03;1,79920E-02;4,89878E-02;4,78842E-02;3,85451E-03;7,76650E-03;2,15951E-02
533;8,71140E-02;8,65543E-03;1,76756E-02;4,97517E-02;4,81826E-02;3,75541E-03;7,67170E-03;2,20602E-02
534;8,76472E-02;8,53440E-03;1,72862E-02;4,99197E-02;4,82379E-02;3,72986E-03;7,66813E-03;2,23838E-02
535;8,65026E-02;8,29458E-03;1,70670E-02;5,01033E-02;4,78169E-02;3,69345E-03;7,60769E-03;2,23832E-02
536;8,56879E-02;8,22543E-03;1,71603E-02;5,01777E-02;4,81059E-02;3,61354E-03;7,59189E-03;2,25245E-02
537;8,56473E-02;8,08642E-03;1,69938E-02;5,06735E-02;4,77775E-02;3,62143E-03;7,54290E-03;2,26805E-02
538;8,47680E-02;7,99187E-03;1,67401E-02;5,02658E-02;4,80478E-02;3,58647E-03;7,47654E-03;2,25425E-02
539;8,47016E-02;8,00125E-03;1,64745E-02;5,04979E-02;4,75201E-02;3,54881E-03;7,47030E-03;2,29180E-02
540;8,37184E-02;7,88825E-03;1,64838E-02;5,01271E-02;4,75457E-02;3,50285E-03;7,45383E-03;2,29345E-02
541;8,32454E-02;7,62938E-03;1,64361E-02;5,02320E-02;4,70966E-02;3,46395E-03;7,46136E-03;2,28250E-02
542;8,28730E-02;7,55081E-03;1,63547E-02;5,00982E-02;4,66644E-02;3,43257E-03;7,31926E-03;2,30062E-02
543;8,29271E-02;7,58082E-03;1,64819E-02;4,97544E-02;4,66231E-02;3,40058E-03;7,44603E-03;2,30475E-02
544;8,16784E-02;7,35372E-03;1,63166E-02;5,01756E-02;4,64527E-02;3,31378E-03;7,36981E-03;2,31343E-02
545;8,16537E-02;7,27879E-03;1,63711E-02;5,00306E-02;4,62157E-02;3,36560E-03;7,33277E-03;2,31743E-02
546;8,07735E-02;7,19970E-03;1,62819E-02;4,96251E-02;4,62656E-02;3,30500E-03;7,36396E-03;2,29871E-02
547;8,02594E-02;7,10874E-03;1,60394E-02;5,00513E-02;4,61265E-02;3,27549E-03;7,36963E-03;2,29930E-02
548;8,01199E-02;7,10407E-03;1,63184E-02;5,01048E-02;4,63607E-02;3,24609E-03;7,41749E-03;2,32997E-02
549;7,93473E-02;6,92809E-03;1,63167E-02;5,02071E-02;4,54986E-02;3,24177E-03;7,44483E-03;2,28861E-02
550;7,91281E-02;6,92157E-03;1,63991E-02;5,00696E-02;4,54395E-02;3,19703E-03;7,47235E-03;2,31848E-02
551;7,97484E-02;6,94405E-03;1,62152E-02;4,97144E-02;4,53324E-02;3,17663E-03;7,47170E-03;2,31470E-02
552;7,88763E-02;6,86174E-03;1,63203E-02;4,97357E-02;4,47402E-02;3,17904E-03;7,49947E-03;2,31817E-02
553;7,85837E-02;6,83170E-03;1,63984E-02;4,99739E-02;4,46587E-02;3,10203E-03;7,45225E-03;2,32964E-02
554;7,85504E-02;6,69387E-03;1,64598E-02;5,00904E-02;4,48523E-02;3,06202E-03;7,45871E-03;2,32506E-02
555;7,77539E-02;6,76125E-03;1,62263E-02;4,99208E-02;4,48429E-02;3,03591E-03;7,52273E-03;2,31868E-02
556;7,75745E-02;6,60499E-03;1,62034E-02;4,94191E-02;4,43818E-02;3,05764E-03;7,42011E-03;2,31567E-02
557;7,71404E-02;6,49104E-03;1,62736E-02;4,95831E-02;4,47089E-02;2,99932E-03;7,36679E-03;2,31420E-02
558;7,71390E-02;6,42799E-03;1,60536E-02;5,02220E-02;4,38571E-02;2,96183E-03;7,37784E-03;2,32313E-02
559;7,67046E-02;6,42580E-03;1,58288E-02;4,97789E-02;4,41584E-02;3,00215E-03;7,31177E-03;2,33636E-02
560;7,68039E-02;6,34915E-03;1,60184E-02;4,98479E-02;4,41222E-02;2,97949E-03;7,45283E-03;2,33987E-02
561;7,66846E-02;6,40273E-03;1,59960E-02;4,98425E-02;4,44149E-02;2,96807E-03;7,36024E-03;2,34164E-02
562;7,69335E-02;6,28320E-03;1,57433E-02;5,00305E-02;4,38204E-02;2,93106E-03;7,26088E-03;2,34299E-02
563;7,70980E-02;6,28124E-03;1,57935E-02;4,96269E-02;4,42676E-02;2,94274E-03;7,28818E-03;2,35426E-02
564;7,73144E-02;6,15130E-03;1,57036E-02;5,04036E-02;4,39606E-02;2,95675E-03;7,25149E-03;2,36586E-02
565;7,68783E-02;6,27658E-03;1,57654E-02;5,02388E-02;4,39478E-02;2,92615E-03;7,29224E-03;2,36596E-02
566;7,70658E-02;6,18976E-03;1,58308E-02;5,02272E-02;4,39454E-02;2,89198E-03;7,38282E-03;2,38167E-02
567;7,64498E-02;6,25352E-03;1,60117E-02;5,03631E-02;4,39379E-02;2,88868E-03;7,31104E-03;2,39463E-02
568;7,75421E-02;6,18034E-03;1,60657E-02;5,05531E-02;4,37045E-02;2,86444E-03;7,39266E-03;2,39058E-02
569;7,68397E-02;6,21834E-03;1,61532E-02;5,11021E-02;4,42110E-02;2,87622E-03;7,43343E-03;2,40367E-02
570;7,73766E-02;6,19397E-03;1,63086E-02;5,10745E-02;4,44070E-02;2,88880E-03;7,59261E-03;2,41300E-02
571;7,81986E-02;6,20602E-03;1,64109E-02;5,15370E-02;4,45248E-02;2,88571E-03;7,74156E-03;2,42660E-02
572;7,72960E-02;6,24047E-03;1,68076E-02;5,19382E-02;4,42361E-02;2,85502E-03;7,83552E-03;2,44368E-02
573;7,80426E-02;6,20550E-03;1,71789E-02;5,19823E-02;4,51200E-02;2,91275E-03;7,90291E-03;2,45121E-02
574;7,86270E-02;6,25531E-03;1,74218E-02;5,24768E-02;4,46917E-02;2,88528E-03;8,10143E-03;2,48584E-02
575;7,89646E-02;6,30002E-03;1,79312E-02;5,29200E-02;4,48237E-02;2,89576E-03;8,23676E-03;2,48904E-02
576;7,93115E-02;6,25144E-03;1,82836E-02;5,31739E-02;4,57545E-02;2,91733E-03;8,45824E-03;2,55011E-02
577;8,07441E-02;6,41281E-03;1,88761E-02;5,39728E-02;4,60515E-02;2,98685E-03;8,71729E-03;2,53581E-02
578;8,13938E-02;6,50803E-03;1,94697E-02;5,45056E-02;4,63307E-02;3,00119E-03;8,83402E-03;2,58092E-02
579;8,21515E-02;6,51482E-03;1,97969E-02;5,50730E-02;4,66100E-02;3,00421E-03;9,25038E-03;2,59525E-02
580;8,27909E-02;6,55825E-03;2,05648E-02;5,61651E-02;4,70026E-02;3,08760E-03;9,61080E-03;2,63903E-02
581;8,38042E-02;6,64360E-03;2,14668E-02;5,66307E-02;4,73534E-02;3,11313E-03;9,98289E-03;2,67345E-02
582;8,50335E-02;6,79211E-03;2,22581E-02;5,76147E-02;4,82004E-02;3,17452E-03;1,02287E-02;2,69971E-02
583;8,63613E-02;6,84001E-03;2,30157E-02;5,86900E-02;4,88248E-02;3,21113E-03;1,07266E-02;2,77380E-02
584;8,74280E-02;7,00382E-03;2,42144E-02;5,90957E-02;4,93765E-02;3,26168E-03;1,11524E-02;2,80595E-02
585;8,93161E-02;7,12119E-03;2,49728E-02;6,01513E-02;4,99456E-02;3,35405E-03;1,15164E-02;2,84199E-02
586;9,07373E-02;7,28552E-03;2,56702E-02;6,09482E-02;5,10708E-02;3,32841E-03;1,19499E-02;2,91403E-02
587;9,18801E-02;7,37820E-03;2,73538E-02;6,28444E-02;5,22643E-02;3,44627E-03;1,25965E-02;2,95661E-02
588;9,33241E-02;7,54477E-03;2,80103E-02;6,35897E-02;5,24220E-02;3,54007E-03;1,30383E-02;3,01209E-02
589;9,49301E-02;7,65231E-03;2,90398E-02;6,46407E-02;5,32190E-02;3,55630E-03;1,35022E-02;3,06050E-02
590;9,64341E-02;7,77064E-03;3,03495E-02;6,58134E-02;5,41321E-02;3,59936E-03;1,38636E-02;3,11936E-02
591;9,76036E-02;7,82656E-03;3,09563E-02;6,65654E-02;5,48047E-02;3,59162E-03;1,42797E-02;3,14214E-02
592;9,76149E-02;7,93789E-03;3,19409E-02;6,75552E-02;5,50288E-02;3,65460E-03;1,45815E-02;3,14751E-02
593;9,81303E-02;7,90381E-03;3,25071E-02;6,82177E-02;5,50841E-02;3,66039E-03;1,47155E-02;3,10927E-02
594;9,74649E-02;7,88297E-03;3,30265E-02;6,74175E-02;5,48761E-02;3,59000E-03;1,48070E-02;3,07103E-02
595;9,54285E-02;7,69690E-03;3,32904E-02;6,67374E-02;5,40623E-02;3,60023E-03;1,47917E-02;3,03145E-02
596;9,45102E-02;7,65937E-03;3,32786E-02;6,64547E-02;5,30531E-02;3,51372E-03;1,49536E-02;3,01170E-02
597;9,26172E-02;7,63177E-03;3,29754E-02;6,46344E-02;5,24597E-02;3,47228E-03;1,47709E-02;2,95918E-02
598;9,14047E-02;7,43661E-03;3,31924E-02;6,41224E-02;5,14345E-02;3,43804E-03;1,47248E-02;2,93413E-02
599;9,00985E-02;7,40878E-03;3,29150E-02;6,31560E-02;5,11808E-02;3,39189E-03;1,48028E-02;2,87615E-02
600;8,83405E-02;7,29793E-03;3,28152E-02;6,20613E-02;5,07581E-02;3,31827E-03;1,47185E-02;2,87483E-02
601;8,69384E-02;7,05557E-03;3,29447E-02;6,17782E-02;5,00960E-02;3,31442E-03;1,48700E-02;2,82578E-02
602;8,65334E-02;7,08370E-03;3,31111E-02;6,10271E-02;4,96455E-02;3,30575E-03;1,49264E-02;2,82502E-02
603;8,58299E-02;7,01047E-03;3,31369E-02;6,04517E-02;4,93567E-02;3,28897E-03;1,49581E-02;2,80261E-02
604;8,54330E-02;6,97486E-03;3,29646E-02;5,98851E-02;4,92179E-02;3,26644E-03;1,49525E-02;2,78149E-02
605;8,47919E-02;6,94894E-03;3,32221E-02;5,96046E-02;4,90247E-02;3,26531E-03;1,51861E-02;2,79826E-02
606;8,48177E-02;7,00842E-03;3,35143E-02;5,95998E-02;4,88656E-02;3,25468E-03;1,52175E-02;2,78754E-02
607;8,46086E-02;6,91038E-03;3,37946E-02;5,93002E-02;4,92706E-02;3,27021E-03;1,54152E-02;2,77554E-02
608;8,42927E-02;7,05537E-03;3,38240E-02;5,96738E-02;4,86152E-02;3,26786E-03;1,55835E-02;2,76371E-02
609;8,41921E-02;6,93271E-03;3,39358E-02;5,91525E-02;4,86670E-02;3,25497E-03;1,57770E-02;2,79013E-02
610;8,46501E-02;6,88701E-03;3,38854E-02;5,93463E-02;4,86590E-02;3,25550E-03;1,57868E-02;2,80463E-02
611;8,40826E-02;7,00104E-03;3,43533E-02;5,88671E-02;4,89910E-02;3,27757E-03;1,58505E-02;2,78241E-02
612;8,46011E-02;6,90781E-03;3,46235E-02;5,94162E-02;4,81781E-02;3,28068E-03;1,61325E-02;2,80128E-02
613;8,43131E-02;7,01587E-03;3,47520E-02;5,91330E-02;4,90180E-02;3,29316E-03;1,61739E-02;2,81036E-02
614;8,43512E-02;6,95213E-03;3,48149E-02;5,91812E-02;4,89745E-02;3,29046E-03;1,62278E-02;2,80474E-02
615;8,44334E-02;7,00530E-03;3,53482E-02;5,92951E-02;4,90430E-02;3,28926E-03;1,63464E-02;2,82018E-02
616;8,45367E-02;6,92881E-03;3,53355E-02;5,99693E-02;4,90831E-02;3,30177E-03;1,64192E-02;2,80798E-02
617;8,41141E-02;6,92829E-03;3,57428E-02;5,92266E-02;4,93518E-02;3,25173E-03;1,65071E-02;2,82023E-02
618;8,49143E-02;6,94403E-03;3,57239E-02;5,97071E-02;4,95889E-02;3,31373E-03;1,66309E-02;2,83354E-02
619;8,48382E-02;6,95427E-03;3,59744E-02;5,99833E-02;4,91706E-02;3,27613E-03;1,67402E-02;2,84463E-02
620;8,49347E-02;7,01822E-03;3,61715E-02;5,93458E-02;4,91955E-02;3,25438E-03;1,68293E-02;2,84358E-02
621;8,54722E-02;6,90963E-03;3,63569E-02;5,96158E-02;4,96414E-02;3,30890E-03;1,68838E-02;2,84701E-02
622;8,43612E-02;6,98173E-03;3,61790E-02;5,99037E-02;4,90623E-02;3,33615E-03;1,68269E-02;2,83449E-02
623;8,53158E-02;6,98475E-03;3,66181E-02;6,01219E-02;4,92397E-02;3,30594E-03;1,69768E-02;2,84441E-02
624;8,42313E-02;6,90566E-03;3,68365E-02;6,03035E-02;4,91992E-02;3,28870E-03;1,69559E-02;2,87428E-02
625;8,56503E-02;7,10745E-03;3,68307E-02;5,98029E-02;4,96335E-02;3,36664E-03;1,71359E-02;2,86346E-02
626;8,45172E-02;7,03060E-03;3,68999E-02;6,01146E-02;4,95698E-02;3,33659E-03;1,70699E-02;2,87330E-02
627;8,44437E-02;7,07589E-03;3,70470E-02;6,02124E-02;4,90776E-02;3,36042E-03;1,72763E-02;2,85411E-02
628;8,45184E-02;7,05660E-03;3,71201E-02;6,00716E-02;4,96471E-02;3,35063E-03;1,72966E-02;2,88254E-02
629;8,51936E-02;7,07878E-03;3,71729E-02;6,05390E-02;4,92143E-02;3,34160E-03;1,73646E-02;2,86074E-02
630;8,49288E-02;7,01643E-03;3,73819E-02;6,03285E-02;4,96576E-02;3,31230E-03;1,73927E-02;2,87682E-02
631;8,48612E-02;7,12967E-03;3,74189E-02;6,04991E-02;4,93588E-02;3,37652E-03;1,74414E-02;2,88556E-02
632;8,40823E-02;7,18642E-03;3,74221E-02;5,98916E-02;4,95208E-02;3,36483E-03;1,74076E-02;2,87946E-02
633;8,46442E-02;6,94608E-03;3,77000E-02;5,98811E-02;4,96255E-02;3,35716E-03;1,75924E-02;2,87077E-02
634;8,41465E-02;7,17896E-03;3,74826E-02;6,02421E-02;4,94899E-02;3,39261E-03;1,75533E-02;2,86194E-02
635;8,39789E-02;7,15770E-03;3,77059E-02;6,01460E-02;4,89295E-02;3,39047E-03;1,76158E-02;2,86240E-02
636;8,39705E-02;7,12431E-03;3,76810E-02;6,02098E-02;4,89055E-02;3,44732E-03;1,75793E-02;2,85529E-02
637;8,39433E-02;7,19547E-03;3,76296E-02;6,05931E-02;4,86416E-02;3,45433E-03;1,76089E-02;2,87171E-02
638;8,32101E-02;7,18795E-03;3,80044E-02;5,97119E-02;4,90430E-02;3,44332E-03;1,76727E-02;2,84570E-02
639;8,32903E-02;7,23799E-03;3,77685E-02;5,95968E-02;4,91479E-02;3,49148E-03;1,77106E-02;2,86409E-02
640;8,30395E-02;7,18762E-03;3,76045E-02;5,99198E-02;4,87949E-02;3,51322E-03;1,78081E-02;2,85961E-02
641;8,22957E-02;7,26598E-03;3,75887E-02;5,93798E-02;4,92439E-02;3,49190E-03;1,76924E-02;2,83745E-02
642;8,18446E-02;7,31210E-03;3,76605E-02;5,93176E-02;4,82866E-02;3,51319E-03;1,76874E-02;2,83980E-02
643;8,29268E-02;7,41616E-03;3,79179E-02;5,92858E-02;4,91284E-02;3,54065E-03;1,78299E-02;2,84283E-02
644;8,23457E-02;7,37898E-03;3,77072E-02;5,94712E-02;4,87158E-02;3,54700E-03;1,77687E-02;2,84767E-02
645;8,17716E-02;7,47035E-03;3,79658E-02;5,86302E-02;4,85196E-02;3,54017E-03;1,77726E-02;2,83598E-02
646;8,14770E-02;7,48568E-03;3,76812E-02;5,84257E-02;4,81913E-02;3,59129E-03;1,77648E-02;2,84866E-02
647;8,13401E-02;7,44241E-03;3,78407E-02;5,91193E-02;4,82617E-02;3,57901E-03;1,77420E-02;2,83199E-02
648;8,08050E-02;7,57743E-03;3,77141E-02;5,82330E-02;4,85062E-02;3,64054E-03;1,78259E-02;2,84122E-02
649;8,06883E-02;7,60032E-03;3,79395E-02;5,83985E-02;4,81250E-02;3,63326E-03;1,78387E-02;2,82103E-02
650;8,02048E-02;7,67692E-03;3,76975E-02;5,85943E-02;4,80792E-02;3,69637E-03;1,79342E-02;2,81320E-02
651;8,02111E-02;7,74292E-03;3,76042E-02;5,86217E-02;4,78177E-02;3,70682E-03;1,78639E-02;2,83044E-02
652;8,00124E-02;7,77294E-03;3,78230E-02;5,86093E-02;4,84241E-02;3,75665E-03;1,78635E-02;2,82630E-02
653;8,02291E-02;7,65821E-03;3,80333E-02;5,82654E-02;4,78550E-02;3,80640E-03;1,80139E-02;2,83410E-02
654;8,00506E-02;7,84193E-03;3,78947E-02;5,80802E-02;4,82698E-02;3,84110E-03;1,80845E-02;2,82450E-02
655;7,95184E-02;7,84904E-03;3,78433E-02;5,79873E-02;4,78494E-02;3,84421E-03;1,79769E-02;2,82289E-02
656;7,84969E-02;7,99762E-03;3,81580E-02;5,76520E-02;4,82047E-02;3,88969E-03;1,80786E-02;2,80447E-02
657;7,86392E-02;7,92373E-03;3,80973E-02;5,77613E-02;4,79523E-02;3,89388E-03;1,81102E-02;2,80531E-02
658;7,80674E-02;7,82564E-03;3,79131E-02;5,73159E-02;4,74691E-02;3,86628E-03;1,80592E-02;2,81455E-02
659;7,71171E-02;7,96489E-03;3,79546E-02;5,68643E-02;4,75348E-02;3,96962E-03;1,79361E-02;2,80009E-02
660;7,62974E-02;7,97447E-03;3,74942E-02;5,60152E-02;4,75587E-02;3,92631E-03;1,79413E-02;2,79282E-02
661;7,58013E-02;7,92860E-03;3,73401E-02;5,55417E-02;4,68194E-02;3,98234E-03;1,79776E-02;2,76752E-02
662;7,45435E-02;7,94938E-03;3,66508E-02;5,53285E-02;4,69675E-02;3,98328E-03;1,78747E-02;2,74849E-02
663;7,39223E-02;7,96427E-03;3,63852E-02;5,46382E-02;4,66736E-02;3,97326E-03;1,77573E-02;2,73410E-02
